id,datetime,created_at,screen_extracted_id,project,sector,state,announced,promised_capital_usd,promised_jobs,promised_first_output,actual_first_output,current_status,lag_years,slip_years,verification_tier,notes,promise_source,status_source,flag,promised_date_source,announced_dt,promised_first_output_dt,actual_first_output_dt,announced_raw,promised_first_output_raw,actual_first_output_raw
1,2026-09-04T23:30:09Z,2026-09-04T23:30:09Z,16,"Micron Clay Megafab (DRAM), Onondaga County",Semiconductors,NY,2022-10,100000000000,9000,2027,pending,"CONSTRUCTION; first concrete poured, transitioning to vertical construction, reported ahead of schedule",-1.0,-1.0,V1,"Announcement (Oct 4, 2022) is 'up to $100B over 20-plus years' with a first-phase $20B by end of decade; headline announced total used for promised_capital_usd, first phase noted here. Broke ground Jan 16, 2026; first concrete pour more than one quarter ahead of original plan. Plan is four fabs; ~50,000 total NY jobs claimed of which ~9,000 direct Micron jobs.",https://investors.micron.com/news/press-release/2022/Micron-Announces-Historic-Investment-of-up-to-100-Billion-to-Build-Megafab-in-Central-New-York-10-04-2022/default.aspx,https://investors.micron.com/news/press-release/2026/Micron-Accelerates-U-S--Investments-Pours-First-Concrete-at-New-York-Fab/default.aspx,pretty clear be 2022 and 2026 article -AL,https://www.governor.ny.gov/news/promise-progress-governor-hochul-celebrates-groundbreaking-microns-semiconductor-manufacturing,2022-10-15,2027-07-01,,"Micron intends to invest up to $100 billion over the next 20-plus years to construct a new megafab in Clay, New York","Site preparation work will start in 2023, construction will begin in 2024 and production output will ramp in the latter half of the decade","Less than six months after breaking ground in January 2026, Micron has completed key early site work and is transitioning to vertical construction"
2,2026-09-05T07:46:12Z,2026-09-05T07:46:12Z,1,"Intel Ohio One (New Albany, Licking County)",Semiconductors,OH,2022-01,20000000000,3000,2025,pending,"UNDER CONSTRUCTION; not yet producing, first-fab production delayed to the next decade (~2030-2031)",-1.0,-1.0,V1,"Initial announced investment was more than $20B for two fabs; later expansions/re-announcements (~$28B, and an 'up to $100 billion' complex figure) are re-announcements per rule 4 and are not summed. Initial phase promised 3,000 Intel (direct) jobs plus 7,000 construction jobs (construction jobs excluded). CNBC/AP notes the first plant's fabs were later expected by end of 2026 before being pushed to 2030+.",https://www.intc.com/news-events/press-releases/detail/1521/intel-announces-next-us-site-with-landmark-investment-in,https://www.axios.com/local/columbus/2026/05/12/intel-ohio-stock-project-2026,verbatim,https://www.cnbc.com/2025/02/28/intel-delays-ohio-plant-opening-to-2030-production-was-to-start-2026.html,2022-01-15,2025-07-01,,"Jan 21, 2022 - Intel today announced plans for an initial investment of more than $20 billion in the construction of two new leading-edge chip factories in Ohio.","Production is expected to come online in 2025, when the fab will deliver chips using the industry's most advanced transistor technologies.","Not yet producing; first-fab production has been delayed. Per the CNBC/AP report: the company won't complete construction on the first plant until 2030, starting operations that year or the next."
3,2026-09-05T07:48:20Z,2026-09-05T07:48:20Z,11,Samsung Taylor Semiconductor Fab (Williamson County),Semiconductors,TX,2021-11,17000000000,2000,2024 (second half),pending,TRIAL OPERATIONS; mass production slipped to early 2027,-1.0,-1.0,V1,"Announced Nov 23, 2021 (~$17B, largest FDI in Texas on record). Promised over 2,000 direct high-tech jobs plus thousands of indirect and a minimum of 6,500 construction jobs (only direct counted). As of TrendForce March 2026 the fab is in trial operations, not yet in mass production; full-scale production now expected to slip to early 2027 (Samsung frames this as completing preparations for mass production by end of 2026).",https://news.samsung.com/global/samsung-electronics-announces-new-advanced-semiconductor-fab-site-in-taylor-texas,https://www.trendforce.com/news/2026/03/03/news-delay-at-samsungs-taylor-reportedly-slips-mass-production-to-2027-raising-concerns-for-tesla/,delayed to 2027 -AL,https://gov.texas.gov/news/post/governor-abbott-announces-new-17-billion-samsung-manufacturing-facility-in-taylor,2021-11-15,2024-10-01,,"Governor Abbott Announces New $17 Billion Samsung Manufacturing Facility In Taylor (November 23, 2021)",Construction will begin in early 2022 with a target of production start in the second half of 2024.,"Samsung's Taylor plant has started trial operations, but full-scale production is already facing significant delays."
4,2026-09-05T08:12:08Z,2026-09-05T08:12:08Z,2,Ford BlueOval City Battery Plant (Stanton),Battery,TN,2021-09,5600000000,6000,2025,pending,"NOT YET PRODUCING; BlueOval SK joint venture dissolved and SK On Tennessee took full ownership of the battery plant (May 2026); construction complete, output now slated for 2028",-1.0,-1.0,V1,"$11.4B / ~11,000 jobs is the combined three-plant BlueOval SK total (two Kentucky plants + this Tennessee site); per re-announcement rule only the initial $5.6B Stanton campus figure is used as the anchor. Ford later scrapped its EV-pickup plans for the campus and will build gas-powered trucks at the renamed Tennessee Truck Plant starting 2029; the battery plant is now owned/operated by SK On Tennessee, which employs a core team of ~100.",https://www.corporate.ford.com/articles/electrification/blue-oval-city.html,https://tennesseelookout.com/2026/05/22/sk-on-tennessee-takes-control-of-battery-plant-in-stanton-as-joint-venture-with-ford-dissolves/,"Resolved: human-verified and promoted from screen_extracted #2. Prior extraction flag: Promised first output slipped from 2025 (original announcement) to ~2028 (status source). The $5.6B and ~6,000-jobs figu",,2021-09-15,2025-07-01,,"DEARBORN, Mich., Sept. 27, 2021",production of the new electric vehicles and advanced lithium-ion batteries will begin in 2025,SK On Tennessee plans to produce automotive and energy storage systems at the plant starting in 2028.
5,2026-09-05T08:16:36Z,2026-09-05T08:16:36Z,4,Eli Lilly Concord Parenteral Manufacturing Facility,Pharmaceuticals,NC,2022-01,1000000000,600,unconfirmed,2024-06,"OPERATIONAL; opened June 2024, manufacturing parenteral (injectable) products",2.4,-3.0,V1,"Initial announcement (Jan 28, 2022) was 'over $1 billion' and 'nearly 600 new jobs'; status source reports total investment later grown to ~$2B (re-announcement/expansion, not summed into promised_capital_usd per rule 4). ~500 additional construction jobs stated in the promise source are excluded as non-direct.",https://investor.lilly.com/news-releases/news-release-details/lilly-announces-1-billion-investment-new-manufacturing-facility,https://www.pharmaceutical-technology.com/projects/eli-lilly-parenteral-products-facility-concord/,"Resolved: human-verified and promoted from screen_extracted #4. Prior extraction flag: Promise source gives no promised first-output/production date, so promised_first_output is 'unconfirmed' (no promised_da",,2022-01-15,,2024-06-15,"INDIANAPOLIS, Jan. 28, 2022 /PRNewswire/ -- Eli Lilly and Company (NYSE: LLY) plans to invest over $1 billion to create a new manufacturing site",The promise source states no planned start-of-operations/production date; it announces the investment and jobs only.,"Eli Lilly opened a facility in Concord, North Carolina, in June 2024 to manufacture parenteral (injectable) products and devices"
6,2026-09-05T08:19:25Z,2026-09-05T08:19:25Z,5,Qcells Cartersville Vertically Integrated Solar Factory,Solar,GA,2023-01,2500000000,2500,2024,2026-06-09,"PRODUCING solar cells; module assembly at full capacity, full ingot/wafer/cell production expected by Q3 2026",3.4,1.9,V1,"Vertically integrated site (ingots, wafers, cells, finished panels) in Cartersville, Bartow County, GA. The more than $2.5B investment and more than 2,500 new jobs from the Jan 2023 announcement cover both the new Cartersville facility and the Dalton (Whitfield County) expansion; a Cartersville-only split is not stated in the sources. Qcells' Georgia operations later cited at ~3,800 direct jobs. By Q3 2026 Cartersville expected to make 3.3 GW each of ingots/wafers/cells and 3.5 GW of modules per year.",https://georgia.org/press-releases/2023/qcells-more-double-production-georgia-create-2500-new-jobs,https://pv-magazine-usa.com/2026/06/09/qcells-begins-production-of-solar-cells-in-cartersville-georgia/,Resolved: human-verified and promoted from screen_extracted #5. Prior extraction flag: status_source (pv-magazine-usa) returned HTTP 403 and could not be scraped; actual first-output date (solar cells began ,https://us.qcells.com/blog/qcells-begins-solar-cell-manufacturing-at-americas-first-and-only-vertically-integrated-solar-factory-in-cartersville-georgia/,2023-01-15,2024-07-01,2026-06-09,"January 11, 2023 announcement of a more than $2.5 billion expansion of its solar manufacturing footprint in Georgia","Qcells expects to break ground at the Cartersville site in the first quarter of 2023, with total production capacity reaching 8.4 gigawatts by 2024","June 9, 2026 - Qcells has begun manufacturing solar cells at its Cartersville, Georgia factory"
7,2026-09-05T23:35:54Z,2026-09-05T23:35:54Z,3,Steel Dynamics Sinton Flat Roll Steel Mill,Steel,TX,2019-07,1900000000,600,2021 (mid-year),unconfirmed,"IN FULL OPERATION; record 2025 shipments, planned Q4 2025 maintenance outage",-4.0,-4.0,V1,~3.0 million tons/year flat-roll EAF capacity; construction expected to begin early 2020. Status source (Q4/full-year 2025 results) confirms Sinton is operating and contributing to record annual shipments but does not disclose Sinton-specific first-production date.,https://ir.steeldynamics.com/steel-dynamics-announces-planned-new-flat-roll-steel-mill-site-selection/,https://ir.steeldynamics.com/steel-dynamics-reports-fourth-quarter-and-annual-2025-results/,Resolved: human-verified and promoted from screen_extracted #3. Prior extraction flag: actual_first_output unconfirmed: status source confirms Sinton is in full operation and producing but states no explicit,https://www.prnewswire.com/news-releases/steel-dynamics-announces-planned-new-flat-roll-steel-mill-site-selection-300888920.html,2019-07-15,2021-07-01,,"Steel Dynamics Announces Planned New Flat Roll Steel Mill Site Selection (news release dated July 22, 2019)","the company expects to begin construction early 2020, followed by the commencement of operations mid-2021",Sinton's year-over-year operating performance improved (Q4/full-year 2025 results); no explicit first-output date stated
8,2026-09-05T23:37:05Z,2026-09-05T23:37:05Z,6,TSMC Arizona Fab 1 (Phoenix),Semiconductors,AZ,2020-05,12000000000,1600,2024,unconfirmed,Fab 1 built; status source (Mar 2026) does not confirm Fab 1 first-output date/node. Article focuses on Fab 2 (P2) targeting 3nm mass production as early as 2H 2027; reports four Arizona fabs booked/fully booked.,-4.0,-4.0,V1,"Announcement was for the first Arizona fab: 5nm ('5-nanometer technology'), ~20,000 wafers/month capacity, total spending ~US$12B from 2021 to 2029. Status source concerns the second fab (P2) and future capacity, not Fab 1's operational milestones.",https://pr.tsmc.com/english/news/2033,https://www.trendforce.com/news/2026/03/24/news-tsmc-reportedly-eyes-2h27-3nm-mass-production-at-arizona-fab-2-four-u-s-fabs-said-to-be-fully-booked/,Resolved: human-verified and promoted from screen_extracted #6. Prior extraction flag: status_source does not state Fab 1's actual first-output date or node; it discusses Fab 2 (P2) 3nm mass production 'as e,,2020-05-15,2024-07-01,,"May 15, 2020 — ""TSMC today announced its intention to build and operate an advanced semiconductor fab in the United States""",Construction is planned to start in 2021 with production targeted to begin in 2024.,unconfirmed
9,2026-09-05T23:39:13Z,2026-09-05T23:39:13Z,9,Chobani Rome Dairy Processing Plant (Triangle Site),Food and Beverage,NY,2025-04,1200000000,1000,2027,pending,"DELAYED; under construction, not yet producing; Phase 1 production slated between spring 2027 and summer 2028",-1.0,-1.0,V1,"Groundbreaking held April 2025. Three-phase rollout totaling 28 production lines; Phase 1 = 4-6 lines and ~300-450 employees. Later reporting suggests eventual employment could reach as many as 1,800.",https://www.prnewswire.com/news-releases/building-for-the-future-chobani-invests-1-2-billion-in-upstate-new-york-to-build-third-us-dairy-processing-plant-302434586.html,https://www.foodprocessing.com/business-of-food-beverage/capital-spending/news/55397882/chobani-updates-construction-status-on-12-billion-rome-new-york-facility,Resolved: human-verified and promoted from screen_extracted #9. Prior extraction flag: Promise source (April 2025 announcement) states no production-start date; promised_first_output is taken from the status,,2025-04-15,2027-07-01,,"Chobani broke ground today on a new, $1.2 billion, state-of-the-art plant in Rome, New York.",Phase 1 ... now slated for a start date between spring 2027 and summer 2028,The facility is not yet operational ... no production currently taking place.
10,2026-09-05T23:43:54Z,2026-09-05T23:43:54Z,7,"Hyundai Metaplant America (HMGMA), Bryan County",Auto Assembly,GA,2022-05,5540000000,8100,2025 (first half),2024-10-07,"PRODUCING; ramping toward 500,000 units/yr",2.4,-0.5,V1,"Capital later expanded to $7.59B and direct jobs to at least 8,500 at the March 2025 grand opening (re-announcements per rule 4; original May 2022 figures used as anchor). Plant produces Hyundai Ioniq 5, Ioniq 9 and Kia Sportage hybrid across Hyundai/Genesis/Kia brands.",https://georgia.org/hyundai-motor-group-metaplant-america,https://www.automotivemanufacturingsolutions.com/smart-factory/hyundai-reshapes-vehicle-production-at-metaplant-america/2677700,"Resolved: human-verified and promoted from screen_extracted #7. Prior extraction flag: Promised first-output date not stated in either source (lead summary says production targeted 2025, but uncited); promis",https://www.hyundai.com/worldwide/en/newsroom/detail/hyundai-motor-group-to-establish-first-dedicated-ev-plant-and-battery-manufacturing-facility-in-the-u.s.-0000000068,2022-05-15,2025-04-01,2024-10-07,"May 20, 2022 – Governor Brian P. Kemp and Hyundai Motor Group Chairman Euisun Chung announce Hyundai's selection of Georgia",Original May 2022 announcement production target not stated on either source page,"October 7, 2024 – HMGMA begins production on the first of its Georgia Made® EVs, the 2025 Hyundai IONIQ 5."
