id,datetime,promise_source,status_source,promised_date_source,summary,collected_via,criteria_id
1,2026-09-09T08:52:20Z,https://www.globenewswire.com/news-release/2022/09/01/2508617/0/en/Micron-to-Invest-15-Billion-in-New-Idaho-Fab-Bringing-Leading-Edge-Memory-Manufacturing-to-the-US.html,https://www.cnbc.com/2026/08/20/micron-boise-chip-fab-expansion.html,,"Micron announced a ~$15B leading-edge DRAM memory fab in Boise, Idaho on Sep 1, 2022 (later scaled into a ~$50B multi-fab buildout). Most recent status (CNBC, Aug 20 2026): still under construction, first fab nearing equipment installation, first wafer output expected mid-2027 — not yet producing.",prompt1,1B-or-2000-jobs
2,2026-09-09T08:52:58Z,https://media.ford.com/content/fordmedia/fna/us/en/news/2021/09/27/ford-to-lead-americas-shift-to-electric-vehicles.html,https://tennesseelookout.com/2026/07/23/what-to-know-about-fords-blueoval-city-plant-5-years-later/,,"Ford announced BlueOval City, a ~$5.6B EV truck assembly mega-campus in Stanton, Tennessee (~6,000 direct jobs), on Sep 27, 2021. Most recent status (Tennessee Lookout, Jul 23 2026): plant still not in production nearly five years on; the next-gen electric pickup was scrapped (Dec 2025) in favor of gas-powered trucks, with production now targeted for 2029.",prompt1,1B-or-2000-jobs
3,2026-09-09T08:53:42Z,https://www.prnewswire.com/news-releases/steel-dynamics-announces-planned-new-flat-roll-steel-mill-site-selection-300888920.html,https://www.gem.wiki/Steel_Dynamics_Sinton_plant,,"Steel Dynamics announced a ~$1.9B electric-arc-furnace flat-roll steel mill in Sinton, Texas on Jul 22, 2019 (clears the floor on capital). Most recent status (Global Energy Monitor, current): mill is operating and producing steel, having started up in 2022; most recent reported output ~2.2M tonnes in 2024, near its ~2.7M-tonne nominal capacity.",prompt1,1B-or-2000-jobs
4,2026-09-09T08:54:06Z,https://georgia.org/press-release/qcells-more-double-production-georgia-create-2500-new-jobs,https://pv-magazine-usa.com/2026/06/09/qcells-begins-production-of-solar-cells-in-cartersville-georgia/,,"Qcells announced a new vertically integrated solar factory (ingots, wafers, cells, modules) in Cartersville, Georgia on Jan 11, 2023, part of a >$2.5B Georgia expansion creating ~2,000 direct jobs at the Cartersville site. Most recent status (pv magazine USA, Jun 9 2026): solar-cell production has begun and module assembly is at full capacity, with the site expected to reach full operation in Q3 2026.",prompt1,1B-or-2000-jobs
5,2026-09-09T08:54:49Z,https://www.opportunitylouisiana.gov/news/formosa-selects-st-james-parish-for-9-4-billion-louisiana-project,https://earthjustice.org/press/2026/groups-sue-over-formosa-plastics-permit-extensions,,"Formosa Plastics (FG LA LLC) announced the ~$9.4B 'Sunshine Project' petrochemical/plastics complex in St. James Parish, Louisiana in April 2018 (~1,200 direct jobs; clears the floor on capital). Most recent status (Earthjustice, Feb 2026): the complex remains unbuilt — major construction has been on hold since Nov 2020, and its preconstruction permit extensions are being challenged in a newly filed 2026 lawsuit, with required federal permits still outstanding.",prompt1,1B-or-2000-jobs
6,2026-09-09T08:57:50Z,https://georgia.org/press-release/korean-battery-manufacturer-create-more-2000-jobs-jackson-county,https://gasiantimes.com/business/2026/03/09/nearly-1000-jobs-cut-at-sk-batterys-georgia-plant-as-ev-market-headwinds-intensify/,https://www.constructionequipmentguide.com/sk-battery-breaks-ground-on-167b-plant-in-jackson-county/44467,"SK Innovation (SK Battery America) announced a ~$1.67B lithium-ion EV battery plant in Commerce, Jackson County, Georgia on Nov 27, 2018, projecting 2,000+ direct jobs. Most recent status (Mar 7, 2026): after losing Ford F-150 Lightning as its anchor customer, the plant laid off 958 workers (~37% of staff), ~1,600 remain, and it is pivoting toward battery energy storage system customers.",prompt1,1B-or-2000-jobs
7,2026-09-09T08:58:45Z,https://pr.tsmc.com/english/news/2033,https://www.aztechcouncil.org/tsmc-moves-up-production-second-fab-html/,,"TSMC announced on May 15, 2020 its intention to build an advanced semiconductor fab in Phoenix, Arizona, with ~$12B of investment (2021-2029) and over 1,600 direct high-tech jobs, using leading-edge (5nm/N4) technology. Most recent status (Dec 19, 2025): the first fab (Fab 21 Phase 1) entered high-volume N4 production in late 2024 with yields comparable to Taiwan, and TSMC is accelerating its second/3nm fab toward 2027.",prompt1,1B-or-2000-jobs
8,2026-09-09T08:59:42Z,https://www.prnewswire.com/news-releases/building-for-the-future-chobani-invests-1-2-billion-in-upstate-new-york-to-build-third-us-dairy-processing-plant-302434586.html,https://www.foodprocessing.com/business-of-food-beverage/capital-spending/news/55397882/chobani-updates-construction-status-on-12-billion-rome-new-york-facility,https://agriculture.ny.gov/news/governor-hochul-announces-chobani-make-nations-largest-investment-ever-natural-food-production,"Chobani announced a ~$1.2B dairy processing plant (1.4M sq ft, its third U.S. facility) at Griffiss Business Park in Rome, Oneida County, New York on April 22, 2025, projecting more than 1,000 direct jobs. Most recent status (Aug 13, 2026): construction has been delayed, site work began in early 2026, and Phase 1 production is now slated to start between spring 2027 and summer 2028; the company has raised its eventual employment estimate toward ~1,800.",prompt1,1B-or-2000-jobs
9,2026-09-09T09:00:33Z,https://www.wpr.org/economy/foxconn-build-10b-electronics-plant-wisconsin,https://www.constructiondive.com/news/foxconn-569m-expanding-mount-pleasant-wisconsin-open-ai-collaboration/806647/,https://businessfacilities.com/foxconn-mega-project-business-facilities-2017-deal-year/,"Foxconn Technology Group announced on July 26, 2017 a ~$10B Generation 10.5 LCD flat-panel manufacturing campus in Mount Pleasant, Racine County, Wisconsin, projecting up to 13,000 jobs. Most recent status (Dec 1, 2025): the site never built the promised large-display fab; through Dec 31, 2024 Foxconn had invested ~$717M and created 1,242 jobs, and now makes AI data-center infrastructure, with a newly announced $569M expansion (contract revised to ~2,616 jobs and ~$1.2B by 2029).",prompt1,1B-or-2000-jobs
10,2026-09-09T09:02:17Z,https://www.jnj.com/media-center/press-releases/johnson-johnson-to-invest-more-than-2-billion-in-new-advanced-technology-manufacturing-facility-in-north-carolina-to-support-robust-portfolio-growth,https://governor.nc.gov/news/press-releases/2026/01/09/governor-stein-announces-johnson-johnson-will-build-second-major-facility-wilson-county,https://governor.nc.gov/news/press-releases/2024/10/01/governor-cooper-announces-2-billion-wilson-county-investment-johnson-johnson-new-manufacturing,"Johnson & Johnson announced on Oct 1, 2024 a more-than-$2B biologics (monoclonal antibody) manufacturing campus at Wilson Corporate Park in Wilson County, North Carolina, projecting ~420 direct jobs (later stated as 500+). Most recent status (Jan 9, 2026): construction on this first facility is underway and the company is ramping up hiring of advanced-manufacturing employees, with operations targeted for 2028; the Jan 2026 release concerns a separate second Wilson County facility.",prompt1,1B-or-2000-jobs
